latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,departure_time,arrival_time
39.2199,-104.5802,3a3e4634,A27330,249,58700,8,,BALL,N257TH,1753025634,,,,,0,64,HBAL732,,,
-33.3779,-70.5793,3a9f267b,10C32270,56,2276,6,,GLID,RPT-1,1753025630,,,,,0,-256,RPT1,,,
45.8081,8.7723,3a9f26a5,DF0862,89,793,0,,GRND,,1753025614,,,,,0,0,LILC,,,
43.522,-96.7561,3b0eacaf,A26F79,270,59100,1,,BALL,N256TH,1753025631,,,,,0,-64,HBAL756,,,
50.4239,9.1989,3b434aa5,DD98AC,294,1062,1,,GLID,TEST,1753025622,,,,,0,0,TEST,,,
35.0595,-89.9564,3b522ec9,A17B40,271,0,0,,B763,N195FE,1753025632,YMX,MEM,FX131,FX,1,0,FDX131,FDX,1752888687.0,1752898534.0
39.0321,-84.6507,3b5274d7,A1DB3A,271,0,0,,B763,N219CY,1753025636,ATL,CVG,GB110,GB,1,0,ABX110,ABX,1752900671.0,1752903968.0
-33.3779,-70.5793,3b52a7a1,101C2902,90,2257,1,,GLID,CC-TR21,1753025623,,,,,0,192,CCTR21,,,
47.6177,19.1432,3b52bd6e,10F74B20,180,403,2,,GLID,HA-5176,1753025632,,,,,0,0,HA5176,,,
55.4515,11.6421,3b532fe3,DDEF00,154,104,0,,GLID,OY-XZC,1753025589,,,,,1,0,OYXZC,,,
